temperature,pressure,c1_x,c1_liq,c1_vap,Q
325.207371,15286.68831,0.1,0.052668283,0.114301302,0.767960384
304.9649297,13439.70911,0.1,0.052682332,0.122756694,0.675249357
325.207371,36526.68198,0.15,0.052697826,0.164792874,0.86803276
300.9164414,8311.662146,0.1,0.052865774,0.158808158,0.444904337
321.1588828,14435.81783,0.1,0.052922649,0.118051722,0.722831585
329.2558593,18513.11527,0.1,0.052923439,0.104793239,0.907590949
333.3043476,19353.95673,0.1,0.052945584,0.102278658,0.95381074
309.0134179,17451.85099,0.1,0.052968295,0.107560702,0.861506339
304.9649297,11354.46677,0.1,0.053007148,0.13335269,0.584884379
304.9649297,10204.60324,0.1,0.0530282,0.140189302,0.538907826
321.1588828,12541.10085,0.1,0.053078322,0.127382128,0.631484178
317.1103945,16348.20569,0.1,0.053078909,0.110600192,0.815717044
296.8679531,9161.204143,0.1,0.053143518,0.148034799,0.493791228
304.9649297,13569.30802,0.1,0.053240639,0.122158882,0.678475813
345.4498124,38842.46154,0.15,0.053242167,0.156761587,0.934682909
317.1103945,15413.71526,0.1,0.053254356,0.113933276,0.770376991
292.8194648,8434.241393,0.1,0.053356065,0.157060889,0.449775943
325.207371,14509.27442,0.1,0.053493991,0.117584226,0.7256333
317.1103945,11553.51983,0.1,0.053538166,0.132448708,0.588791212
304.9649297,10377.49325,0.1,0.053546043,0.139073702,0.543145426
309.0134179,18559.14591,0.1,0.053555678,0.104670775,0.908622406
325.207371,17470.34111,0.1,0.053584203,0.107367726,0.863011463
309.0134179,19355.11779,0.1,0.053594905,0.10222024,0.954339844
313.0619062,12695.13491,0.1,0.053622221,0.126655061,0.635026368
300.9164414,9283.785994,0.1,0.053647575,0.146665178,0.498318854
325.207371,16443.30623,0.1,0.053679093,0.110329302,0.817665249
341.4013242,36581.49148,0.15,0.053734792,0.164324957,0.870468074
321.1588828,13684.92183,0.1,0.053797437,0.12158033,0.681625714
309.0134179,15540.52613,0.1,0.053839287,0.113576015,0.772735881
304.9649297,8556.168218,0.1,0.053845409,0.155385498,0.454545507
296.8679531,10557.55856,0.1,0.054062366,0.137999341,0.547287226
317.1103945,14595.51662,0.1,0.05406402,0.117130946,0.728368783
321.1588828,11720.95361,0.1,0.054067592,0.13157652,0.592607969
296.8679531,9490.672584,0.1,0.054150291,0.145348614,0.502747283
309.0134179,12844.59462,0.1,0.054164556,0.125952251,0.638486076
325.207371,18596.05466,0.1,0.054187805,0.104551379,0.909629541
329.2558593,17552.16293,0.1,0.054199637,0.107179816,0.864481084
329.2558593,19371.01078,0.1,0.054244544,0.102163216,0.954856513
329.2558593,16548.3259,0.1,0.054278502,0.110065842,0.819567625
333.3043476,38912.5353,0.15,0.054298847,0.156555155,0.935894864
329.2558593,34387.08291,0.15,0.054330571,0.172782805,0.807662512
309.0134179,8686.50384,0.1,0.054333701,0.153777913,0.459215255
309.0134179,13829.91324,0.1,0.054352797,0.121020037,0.684702154
313.0619062,15595.71997,0.1,0.054423198,0.11322897,0.775039597
300.9164414,10763.32568,0.1,0.054577153,0.136963973,0.55133633
300.9164414,11882.52816,0.1,0.054595442,0.130734424,0.596337867
313.0619062,14705.74512,0.1,0.054632834,0.116691153,0.731040843
304.9649297,9694.25446,0.1,0.054651614,0.144082171,0.507079323
300.9164414,12994.22873,0.1,0.054705376,0.125272427,0.641866471
329.2558593,36718.71654,0.15,0.054769144,0.163878353,0.8728031
329.2558593,17632.43127,0.1,0.054814776,0.106996718,0.865916879
313.0619062,18657.79883,0.1,0.054820025,0.104434898,0.910613537
304.9649297,8797.967205,0.1,0.054820851,0.152234321,0.463787494
313.0619062,16615.66998,0.1,0.054877288,0.109809439,0.821426268
321.1588828,19394.47476,0.1,0.054894739,0.102107514,0.955361371
321.1588828,13935.5442,0.1,0.054906798,0.12047706,0.687708121
309.0134179,15713.53677,0.1,0.055006218,0.112891626,0.777290578
313.0619062,8175.301189,0.1,0.055087779,0.161594617,0.42168392
300.9164414,10898.76299,0.1,0.055090401,0.135965493,0.555295797
304.9649297,12050.02285,0.1,0.055121747,0.129920825,0.599984045
300.9164414,9840.398987,0.1,0.055151506,0.142863093,0.51131778
313.0619062,14819.36344,0.1,0.055200542,0.116264162,0.733652184
321.1588828,13098.88241,0.1,0.055244739,0.12461439,0.645170622
296.8679531,8939.267721,0.1,0.055306782,0.150751151,0.468264585
337.3528359,34612.7748,0.15,0.0553411,0.172057125,0.811018883
341.4013242,39017.39424,0.15,0.055352109,0.156357714,0.937055838
313.0619062,17715.43231,0.1,0.055429806,0.106818187,0.867320454
309.0134179,18691.80789,0.1,0.055452555,0.104321182,0.91157553
317.1103945,14062.43052,0.1,0.055459529,0.119950511,0.690646495
317.1103945,16732.44765,0.1,0.055475615,0.109559737,0.823243188
325.207371,19417.38533,0.1,0.055545737,0.102053065,0.955855016
313.0619062,8243.200653,0.1,0.055558841,0.159794461,0.426352901
309.0134179,15800.04209,0.1,0.055588487,0.112563492,0.779491166
313.0619062,11044.51667,0.1,0.055602117,0.135001926,0.559168636
321.1588828,12186.77689,0.1,0.055646543,0.129134223,0.603549561
317.1103945,9972.482312,0.1,0.05564994,0.1416888,0.515465451
325.207371,14928.99395,0.1,0.055767263,0.115849323,0.736205404
300.9164414,13220.5769,0.1,0.055782714,0.123977013,0.648401504
300.9164414,9034.483787,0.1,0.055791433,0.149325056,0.472648934
349.4983007,36803.10265,0.15,0.055800626,0.163451726,0.8750433
304.9649297,14150.16413,0.1,0.056011086,0.119439553,0.693520057
304.9649297,8347.889277,0.1,0.056028905,0.158066637,0.430929757
317.1103945,17769.66722,0.1,0.056044927,0.106643994,0.868693349
317.1103945,16845.52239,0.1,0.056073655,0.109316399,0.825020313
325.207371,18735.01489,0.1,0.056085625,0.104210092,0.912516605
