temperature,pressure,enth_mol,entr_mol,vol_mol,q,z
478.9803,8455.0,45854.981567102666,143.8863387875208,0.47055000712767947,1.0,0.9990036373562239
481.6496,1058028.0,44363.395718685904,101.7083227122888,0.0032599171630390586,1.0,0.8612670779314133
491.8267,1738228.0,44355.26137172877,98.31473790926381,0.0018021871057888484,1.0,0.7660548078788454
497.5459,1220546.0,46404.14378587138,104.85641984635822,0.002901623239252565,1.0,0.8561056154525203
557.2029,1601705.0,55107.20947412447,119.40787650503984,0.0025293155181931315,1.0,0.8744550631589868
348.3809,11643.0,30569.085910165606,104.27874378402211,0.2477983206930042,1.0,0.996034185695878
408.8224,128682.0,36771.765489593636,100.93209825190296,0.025721742782816314,1.0,0.9737530581087487
558.7837,1592598.0,55375.56849119454,119.93032147510542,0.002557280714792559,1.0,0.8766094847979071
539.51,983205.0,53179.250706852436,119.53041056736703,0.004182307303175106,1.0,0.9166970731698593
497.0482,706586.0,47254.054266358304,110.6209539083155,0.005388458981303359,1.0,0.921290152231534
529.1246,1616844.0,50581.551772936094,111.00720658779329,0.0022971821451297798,1.0,0.844249715833473
552.5694,4239331.0,47718.79609259453,100.00524073128729,0.0005382795925539309,1.0,0.4966880779942753
536.5263,3232913.0,48168.221788150935,102.11057290663356,0.0008731456096255256,1.0,0.6327832891475631
549.4657,1984478.0,53267.04207298263,114.56051309019526,0.0019120454391707738,1.0,0.8305566032739384
555.2436,2316944.0,53684.55901513671,114.26277590315992,0.0016043596929914254,1.0,0.8051912432399642
558.425,4109115.0,50037.169438007004,104.32037054552106,0.000650282176674068,1.0,0.5755070108835836
529.1692,516917.0,52248.0262621337,122.79892256563963,0.008125254141798058,1.0,0.9546156180934656
544.5546,1150482.0,53729.59098023097,119.35591213743326,0.0035603106463983586,1.0,0.9046729710943371
508.6195,1625669.0,47308.11507980088,104.66011097261672,0.0021206733644107325,1.0,0.8152263792160235
450.256,442713.0,41260.336895580906,101.56748266149096,0.007880477136469447,1.0,0.9319242318393147
553.4441,1217436.0,55034.89959964689,121.30807920878327,0.0034190828188405396,1.0,0.9045807122872666
449.4897,259863.0,41526.63381026135,106.35788621118748,0.013819403264553283,1.0,0.9609024895243007
450.7776,178769.0,41848.42375122062,110.08251578320389,0.02041348969909606,1.0,0.9736715102308614
491.8298,1543058.0,44838.16155837032,100.07239374052219,0.0021191320189017445,1.0,0.7996330755861493
513.2419,2171429.0,46834.93414902934,101.85375000868406,0.0014590992307024465,1.0,0.7424610632433178
548.1691,2483843.0,52176.05837368154,111.07103285220316,0.0014225987923975547,1.0,0.7752778048984827
520.6059,1542355.0,49362.677754058335,109.01567641983236,0.002364539159757899,1.0,0.8425333408072653
465.3181,407499.0,43342.02115340612,106.76173743828569,0.008967681444436344,1.0,0.9445437935614037
444.0656,641381.0,39998.46673700603,95.92808949729805,0.005138022801313306,1.0,0.8925453898756477
523.0109,1478417.0,49853.88347566821,110.25547143850724,0.0025085522158468277,1.0,0.8528539750137772
544.1397,208823.0,54875.434592507816,135.0191483210749,0.02131119388666843,1.0,0.9836509663642056
